question,answer
什么是越位,越位是指进攻方球员在传球的瞬间，比倒数第二名防守球员（通常是最后一名除门将外的防守球员）更靠近对方球门线，并且处于对方半场。简单说就是"传球时接球队员跑太快了"！越位规则是为了防止进攻球员一直"偷懒"等在对方门前。
什么是点球,点球是足球比赛中一种恢复比赛的方式。当防守方在己方禁区内犯规，裁判会判罚点球。罚球点距离球门11米，只有罚球队员和守门员可以在禁区内。点球进球概率约75%，是足球中最直接的得分方式！
什么是VAR,视频助理裁判（Video Assistant Referee），通过视频回放帮助主裁判纠正四种情况：进球是否有效、是否应该判罚点球、是否应该出示红牌、以及认错球员。VAR让比赛更公平，但有时候会让庆祝进球变得"提心吊胆"！
世界杯几年一次,世界杯每四年举办一次。最近一届是2022年卡塔尔世界杯，下一届是2026年美加墨世界杯。这是全球最受关注的体育赛事之一！
什么是帽子戏法,帽子戏法是指一名球员在一场比赛中打进三个进球！这是对球员实力的极高认可。如果三个进球是用左脚、右脚和头球分别打进，叫"完美帽子戏法"。如果有球员一场进5个球，那叫"五子登科"！
足球比赛多长时间,标准足球比赛时间为90分钟，分为上下半场各45分钟，中间休息15分钟。如果淘汰赛打平，会有30分钟加时赛。加时赛后仍平局，则通过点球大战决出胜负。实际比赛通常会有几分钟的伤停补时。
什么是欧冠,欧洲冠军联赛（UEFA Champions League）是欧洲俱乐部足球最高水平的赛事，被称为"欧冠"。每年由欧洲各国联赛的顶尖俱乐部参加，决赛是全球收视率最高的年度体育赛事之一。
什么是英超,英格兰足球超级联赛（Premier League）是英格兰最高级别的足球联赛，也是世界上最具观赏性和商业价值的足球联赛之一。以快节奏、高强度对抗著称，拥有曼联、利物浦、阿森纳、曼城、切尔西等世界级豪门。
什么是德比,德比是指同一城市或同一地区的两支球队之间的比赛。比如曼彻斯特德比（曼联vs曼城）、米兰德比（AC米兰vs国际米兰）。德比战的激烈程度往往超过普通比赛，因为牵扯到城市的荣誉和球迷的情感！
什么是红黄牌,红牌和黄牌是裁判用来处罚球员犯规行为的工具。黄牌是警告，两黄变一红。红牌是直接罚下，被罚下的球员不能继续比赛，且球队不能用替补替换他，球队将少一人作战。严重犯规或暴力行为可直接红牌罚下。
苏超是什么,苏格兰足球超级联赛（Scottish Premiership）是苏格兰最高级别的足球联赛。苏超成立于1890年，是世界上最古老的足球联赛之一。凯尔特人和格拉斯哥流浪者是苏超最著名的两支球队，被称为"老字号德比"。
什么是4-4-2阵型,4-4-2是足球中最经典的阵型之一，由4名后卫、4名中场和2名前锋组成。这种阵型攻守平衡，中场覆盖范围大，是许多球队的首选阵型。弗格森爵士的曼联就是4-4-2的代表。
什么是4-3-3阵型,4-3-3阵型由4名后卫、3名中场和3名前锋组成。这是现代足球中最流行的进攻阵型之一，强调边路突破和高位逼抢。瓜迪奥拉的巴塞罗那就是用4-3-3打出了"tiki-taka"传说。
什么是足球裁判手势,裁判手势是裁判员用来传达判罚决定的身体语言。直接任意球——手臂指向进攻方向；间接任意球——手臂举起；点球——指向点球点；有利原则——双手前伸；角球——指向角球区；球门球——指向球门区。
